id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.03,2014-03-25,0.07771062533652137,8.316117647058823,10.7506301369863,2.474885057471264,50.54,,12.825090909090909,11.07775,,,47.324,3.8120000000000003,,1.0,-0.4,1.0,8.0,13.939915969592185,1.0
AS14.03,2014-03-26,0.058172079386886615,5.649476190476191,9.510037037037037,2.77556,29.047,,5.171,10.382857142857144,,6.42,3.8245,,,1.0,0.5,1.0,8.0,15.175896541825656,
AS14.03,2014-03-27,0.06135267453730548,4.172538461538462,9.55201754385965,2.7901818181818183,,,6.7185,10.005333333333333,,,,8.745000000000001,,1.0,0.25,,8.0,12.338612511754034,1.0
AS14.03,2014-03-28,0.06356541125607877,5.086714285714286,10.671268656716418,2.144625,,,15.402000000000001,7.026555555555556,,,31.893500000000003,7.045,,1.0,-0.5,1.0,8.0,13.202538444445686,
AS14.03,2014-03-29,0.0611154051800942,9.655,7.6464,2.9636888888888886,49.371,,,10.442499999999999,,,,,,,-0.2,1.0,9.0,12.999045464125544,1.0
AS14.03,2014-03-30,0.07408700165888758,3.21725,9.341042857142858,2.6964237288135595,,,26.284,8.1723,,,35.267,,15.977500000000001,1.0,-0.2,1.0,8.0,13.641010867512747,
AS14.03,2014-03-31,0.05232116724613707,8.791025000000001,9.026708333333334,2.2978,25.830333333333332,,,7.0561428571428575,,,,5.16,,1.0,0.4,1.0,7.0,11.28751402034938,1.0
AS14.03,2014-04-01,0.05493790084926717,10.344333333333333,9.10630357142857,2.599888888888889,58.641,,15.622499999999999,7.2102,,,,,,1.0,0.4,1.0,8.0,11.924772141854977,
AS14.03,2014-04-02,0.04356168508077495,4.7992083333333335,8.75006779661017,2.9438846153846154,21.813000000000002,,4.6747499999999995,9.8842,,27.072499999999998,,,,1.0,0.2,1.0,7.0,9.17140625665585,
AS14.03,2014-04-03,0.044458559214945265,4.063833333333334,7.970586206896551,2.5176041666666666,9.012875,,,7.509875,,,20.192,7.042,,1.0,0.0,1.0,8.0,11.806116884404958,
AS14.03,2014-04-04,0.038245418219635514,8.623719999999999,8.591178571428571,3.8197727272727273,47.284,,6.163,6.984384615384615,,,,,,,0.2,1.0,8.0,11.24880951169937,1.0
AS14.03,2014-04-05,0.06103683894679425,5.078695652173913,12.213032258064516,2.8223399999999996,,,2.032,10.143666666666666,,9.847999999999999,,,,1.0,1.2,1.0,8.0,14.660850557787665,
AS14.03,2014-04-06,0.05791790021647924,3.6876666666666664,10.22040909090909,3.5801071428571425,,,,11.485800000000001,,,23.094,,,,0.2,1.0,7.0,16.611941155265363,
